库存明细ID,库存标识,货主,商品编码,商品名称,规格,仓库,区域类型,库位,批次号,生产日期,有效期至,序列号,账面库存,已分配,锁定,残次,可用,启用状态
201,INV[5/1/1/676],名创,4570046930105,浅香百合氨基酸丝滑柔嫩沐浴露750ml,750ml,-,拣选区,8-1-1-1,-,-,-,-,12,0,0,0,12,是
294,INV[5/1/1/700],名创,4891338000918,好来双重薄荷牙膏225g,225g,-,拣选区,8-1-1-1,-,-,-,-,24,0,0,0,24,是
281,INV[5/1/1/593],名创,4891338010542,好来茶倍健龙井绿茶牙膏190g,190g,-,拣选区,8-1-1-1,-,-,-,-,3,0,0,0,3,是
328,INV[5/1/1/727],名创,490331186403,狮王牙膏荷兰薄荷香型150克,150克,-,拣选区,8-1-1-1,-,-,-,-,11,0,0,0,11,是
289,INV[5/1/1/695],名创,6901070600173,云南白药薄荷香型牙膏150g,150g,-,拣选区,8-1-1-1,-,-,-,-,18,0,0,0,18,是
288,INV[5/1/1/694],名创,6901070604690,云南白药留兰香型牙膏215g,215g,-,拣选区,8-1-1-1,-,-,-,-,9,0,0,0,9,是
313,INV[5/1/1/607],名创,6901236300367,维达厨房湿巾 60 片 L 码,60 片 L 码,-,拣选区,8-1-1-1,-,-,-,-,20,0,0,0,20,是
300,INV[5/1/1/703],名创,6901236383094,维达抽取式厨房纸巾3包80抽L码,3包80抽L码,-,拣选区,8-1-1-1,-,-,-,-,12,0,0,0,12,是
195,INV[5/1/1/661],名创,6901294172173,六神冰凉劲爽沐浴露（冰片 + 桑叶）1.5kg / 瓶,（冰片 + 桑叶）1.5kg / 瓶,-,拣选区,8-1-1-1,-,-,-,-,6,0,0,0,6,是
185,INV[5/1/1/608],名创,6901294177017,六神花露水195ml,195ml,-,拣选区,8-1-1-1,-,-,-,-,8,0,0,0,8,是
189,INV[5/1/1/609],名创,6901294206199,六神清凉爽肤沐浴露 700m,700m,-,拣选区,8-1-1-1,-,-,-,-,2,0,0,0,2,是
234,INV[5/1/1/662],名创,6901358101798,华力电热蚊香液 绿宝宝 (40 夜),(40 夜),-,拣选区,8-1-1-1,-,-,-,-,18,0,0,0,18,是
275,INV[5/1/1/603],名创,6901404300854,上海硫磺皂85g,85g,-,拣选区,8-1-1-1,-,-,-,-,42,0,0,0,42,是
330,INV[5/1/1/729],名创,6901586106169,威猛先生厨房重油污净清新柠檬味500克,500克,-,拣选区,8-1-1-1,-,-,-,-,8,0,0,0,8,是
258,INV[5/1/1/600],名创,6901894121434,白猫餐饮专供洗洁精5kg,5kg,-,拣选区,8-1-1-1,-,-,-,-,0,0,0,0,0,是
266,INV[5/1/1/576],名创,6902022137259,蓝月亮亮白增艳薰衣草洗衣液2Kg,2Kg,-,拣选区,8-1-1-1,-,-,-,-,23,0,0,0,23,是
268,INV[5/1/1/596],名创,6902022137334,蓝月亮洗衣液薰衣草香500g,500g,-,拣选区,8-1-1-1,-,-,-,-,16,0,0,0,16,是
238,INV[5/1/1/586],名创,6902088106077,夏士莲黑亮滋养去屑洗发露750g,750g,-,拣选区,8-1-1-1,-,-,-,-,5,0,0,0,5,是
241,INV[5/1/1/643],名创,6902088114003,力士新活炫亮系列-水润丝滑洗发乳750ML750 克,750ML,-,拣选区,8-1-1-1,-,-,-,-,5,0,0,0,5,是
244,INV[5/1/1/646],名创,6902088124187,清扬樱花沁爽香型洗发露 750 克,750 克,-,拣选区,8-1-1-1,-,-,-,-,20,0,0,0,20,是
247,INV[5/1/1/667],名创,6902088126952,清扬控油清爽型500ML洗发水,500ML,-,拣选区,8-1-1-1,-,-,-,-,16,0,0,0,16,是
